;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;M26;M27;M28;M29;M30
1;2610;2081;3899;4834;2972;2346;2329;5804;8283;1075;649;1990;3724;1456;6968;2101;5119;2157;1734;1709;5511;5928;6343;1943;1045;907;1242;1050;982;1812
2;3425;2903;4722;5647;3799;3164;3137;6631;9096;1883;1449;2806;4536;2261;7785;2918;5918;2962;2578;2510;6346;6732;7168;2789;1899;1721;2092;1867;1798;2641
3;4067;3538;5355;6292;4428;3803;3788;7259;9740;2533;2109;3447;5181;2914;8424;3557;6579;3616;3188;3169;6965;7388;7799;3397;2498;2363;2695;2507;2439;3267
4;4883;4360;6179;7105;5256;4621;4596;8087;10555;3342;2910;4264;5994;3721;9243;4376;7378;4422;4034;3971;7802;8193;8625;4244;3354;3179;3547;3324;3255;4098
5;5525;4994;6810;7749;5883;5258;5246;8715;11197;3991;3568;4903;6639;4372;9880;5013;8039;5075;4641;4629;8419;8849;9253;4849;3950;3820;4147;3963;3895;4721
6;6342;5817;7636;8563;6712;6079;6055;9544;12013;4801;4370;5722;7453;5180;10701;5833;8839;5881;5489;5432;9257;9654;10081;5700;4809;4637;5001;4782;4713;5554
7;6982;6450;8266;9205;7338;6714;6703;10170;12654;5448;5028;6359;8096;5830;11335;6469;9498;6532;6095;6088;9873;10308;10707;6301;5402;5277;5600;5420;5351;6176
8;7800;7274;9093;10021;8169;7536;7513;11001;13471;6259;5830;7179;8911;6639;12158;7290;10300;7340;6945;6892;10713;11114;11537;7155;6264;6095;6456;6240;6171;7011
9;8438;7906;9721;10662;8792;8170;8161;11625;14111;6906;6487;7815;9553;7288;12791;7925;10958;7990;7547;7547;11327;11766;12162;7754;6855;6733;7052;6876;6807;7631
10;9257;8732;10550;11479;9626;8993;8972;12457;14929;7718;7291;8637;10369;8098;13615;8748;11760;8799;8401;8352;12169;12571;12994;8610;7718;7552;7911;7697;7629;8467
11;9895;9362;11176;12119;10247;9626;9618;13079;15568;8363;7946;9271;11010;8746;14247;9381;12417;9447;9001;9006;12781;13223;13617;9206;8307;8189;8505;8332;8264;9085
